Soil No;%;%;%;;;%;mm;;`%;g/cm3;g/cm3;cm/hr;cm3/cm3;cm3/cm3;cm3/cm3;cm3/cm3;cm3/cm3;%;mm;mm;dS/m;;%;%;Cmole/kg;;mm;;%;;;;mm/h;%;;Yes/no;Yes/no;
Code;Clay;Silt;Sand;Texture Class;TextureCode;Gravel;dg;Sg;OC;Db;Dp;Ksat;WC_s;WC_i;FC;PWP;WC_r;WAS;MWD;GMD;EC;pH;Gypsum;CCE;CEC;SAR;DiscRedius;Instrument;Vegetation cover;Landuse (reported by data owners);Landuse (classifed);Landuse_Code;Rainfal intensity;Slope;Treatment;Crust;Sand contact layer;
1;18,526;23,952;57,522;SANDY LOAM;3;;0,118;15,332;1,073;1,213;2,488;14,940;0,551;0,123;;;;70,134;;;0,700;;;;;;;4;;Irrigated Farmin;Agriculture;1;;;;;;
2;21,237;21,812;56,951;SANDY CLAY LOAM;4;;0,106;16,863;1,170;1,416;2,513;1,495;0,529;0,135;;;;68,354;;;0,700;;;;;;;4;;Irrigated Farmin;Agriculture;1;;;;;;
3;20,557;22,761;56,682;SANDY CLAY LOAM;4;;0,107;16,440;0,920;1,432;2,500;1,357;0,516;0,135;;;;69,697;;;1,000;;;;;;;4;;Bare soil;Bare;6;;;;;;
4;22,376;32,429;45,195;LOAM;6;;0,066;15,776;0,585;1,348;2,551;6,277;0,542;0,123;;;;54,839;;;1,000;;;;;;;4;;Irrigated Farmin;Agriculture;1;;;;;;
5;24,868;28,993;46,139;LOAM;6;;0,063;17,176;0,599;1,434;2,564;4,952;0,535;0,121;;;;42,857;;;1,000;;;;;;;4;;Bare soil;Bare;6;;;;;;
6;23,601;31,280;45,119;LOAM;6;;0,063;16,347;0,488;1,385;2,577;6,176;0,497;0,120;;;;43,750;;;0,800;;;;;;;4;;Irrigated Farmin;Agriculture;1;;;;;;
7;21,109;25,712;53,178;SANDY CLAY LOAM;4;;0,092;16,377;0,776;1,486;2,475;1,257;0,451;0,126;;;;56,522;;;0,700;;;;;;;4;;Bare soil;Bare;6;;;;;;
8;20,377;26,052;53,571;SANDY CLAY LOAM;4;;0,096;16,019;0,736;1,426;2,488;1,365;0,472;0,127;;;;55,963;;;0,700;;;;;;;4;;Bare soil;Bare;6;;;;;;
9;18,717;28,671;52,613;SANDY LOAM;3;;0,098;15,014;0,783;1,209;2,500;7,696;0,507;0,120;;;;56,970;;;0,800;;;;;;;4;;Bare soil;Bare;6;;;;;;
